policy,(All),,,,,
losscause_desc,(All),,,,,
,,,,,,
Sum of indemnity_paid,Column Labels,,,,,
39194,"185,392",,,,,"185,392"
YAZOO CITY,"185,392",,,,,"185,392"
MS,"185,392",,,,,"185,392"
94060,,,,"183,871",,"183,871"
PESCADERO,,,,"183,871",,"183,871"
CA,,,,"183,871",,"183,871"
30747,,,,,"181,769","181,769"
SUMMERVILLE,,,,,"181,769","181,769"
GA,,,,,"181,769","181,769"
89046,,,"179,193",,,"179,193"
SEARCH LIGHT,,,"179,193",,,"179,193"
NV,,,"179,193",,,"179,193"
11575,,,"178,668",,,"178,668"
ROOSEVELT,,,"178,668",,,"178,668"
NY,,,"178,668",,,"178,668"
46628,"138,125",,,,"40,000","178,125"
SOUTH BEND,"138,125",,,,"40,000","178,125"
IN,"138,125",,,,"40,000","178,125"
85016,,,,,"177,500","177,500"
PHOENIX,,,,,"177,500","177,500"
AZ,,,,,"177,500","177,500"
46952,,,,"177,370",,"177,370"
MARION,,,,"177,370",,"177,370"
IN,,,,"177,370",,"177,370"
60466,,"176,812",,,,"176,812"
PARK FOREST,,"176,812",,,,"176,812"
IL,,"176,812",,,,"176,812"
59072,,,,"176,714",,"176,714"
ROUNDUP,,,,"176,714",,"176,714"
MT,,,,"176,714",,"176,714"
75951,"176,504",,,,,"176,504"
JASPER,"176,504",,,,,"176,504"
TX,"176,504",,,,,"176,504"
46550,,,,,"176,000","176,000"
NAPPANEE,,,,,"176,000","176,000"
IN,,,,,"176,000","176,000"
77026,"55,000","33,000","87,964",,,"175,964"
HOUSTON,"55,000","33,000","87,964",,,"175,964"
TX,"55,000","33,000","87,964",,,"175,964"
6516,,,,"175,846",,"175,846"
WEST HAVEN,,,,"175,846",,"175,846"
CT,,,,"175,846",,"175,846"
98036,,"175,000",,,,"175,000"
LYNNWOOD,,"175,000",,,,"175,000"
WA,,"175,000",,,,"175,000"
77591,,"175,000",,,,"175,000"
TEXAS CITY,,"175,000",,,,"175,000"
TX,,"175,000",,,,"175,000"
33186,,"174,815",,,,"174,815"
MIAMI,,"174,815",,,,"174,815"
FL,,"174,815",,,,"174,815"
29001,,,"163,153",,"10,000","173,153"
ALCOLU,,,"163,153",,"10,000","173,153"
SC,,,"163,153",,"10,000","173,153"
70119,,"161,895","9,498",,,"171,393"
NEW ORLEANS,,"161,895","9,498",,,"171,393"
LA,,"161,895","9,498",,,"171,393"
55790,"170,247",,,,,"170,247"
TOWER,"170,247",,,,,"170,247"
MN,"170,247",,,,,"170,247"
10547,"170,142",,,,,"170,142"
MOHEGAN LAKE,"170,142",,,,,"170,142"
NY,"170,142",,,,,"170,142"
31404,0,"54,047","115,550",,,"169,597"
SAVANNAH,0,"54,047","115,550",,,"169,597"
GA,0,"54,047","115,550",,,"169,597"
19023,,,,,"165,200","165,200"
COLLINGDALE,,,,,"165,200","165,200"
PA,,,,,"165,200","165,200"
74026,"165,000",,,,,"165,000"
DAVENPORT,"165,000",,,,,"165,000"
OK,"165,000",,,,,"165,000"
33175,,"77,960",,"86,678",,"164,638"
MIAMI,,"77,960",,"86,678",,"164,638"
FL,,"77,960",,"86,678",,"164,638"
59858,,,,"164,301",,"164,301"
PHILIPSBURG,,,,"164,301",,"164,301"
MT,,,,"164,301",,"164,301"
48235,"161,894",,,,,"161,894"
DETROIT,"161,894",,,,,"161,894"
MI,"161,894",,,,,"161,894"
29073,,"161,599",,,,"161,599"
LEXINGTON,,"161,599",,,,"161,599"
SC,,"161,599",,,,"161,599"
39576,"160,523",,,,,"160,523"
WAVELAND,"160,523",,,,,"160,523"
MS,"160,523",,,,,"160,523"
39046,,"160,500",,,,"160,500"
CANTON,,"160,500",,,,"160,500"
MS,,"160,500",,,,"160,500"
30341,,,,,"160,500","160,500"
ATLANTA,,,,,"160,500","160,500"
GA,,,,,"160,500","160,500"
33013,,,"160,040",,,"160,040"
HIALEAH,,,"160,040",,,"160,040"
FL,,,"160,040",,,"160,040"
78753,,,,"159,505",,"159,505"
AUSTIN,,,,"159,505",,"159,505"
TX,,,,"159,505",,"159,505"
56081,,"158,674",,,,"158,674"
SAINT JAMES,,"158,674",,,,"158,674"
MN,,"158,674",,,,"158,674"
87553,"158,080",,,,,"158,080"
PENASCO,"158,080",,,,,"158,080"
NM,"158,080",,,,,"158,080"
56570,,"156,415",,,,"156,415"
OSAGE,,"156,415",,,,"156,415"
MN,,"156,415",,,,"156,415"
96051,,"155,260",,,,"155,260"
LAKEHEAD,,"155,260",,,,"155,260"
CA,,"155,260",,,,"155,260"
72958,,,"153,709",,,"153,709"
WALDRON,,,"153,709",,,"153,709"
AR,,,"153,709",,,"153,709"
77089,,,"151,512",,,"151,512"
HOUSTON,,,"151,512",,,"151,512"
TX,,,"151,512",,,"151,512"
32696,,,,"151,448",,"151,448"
WILLISTON,,,,"151,448",,"151,448"
FL,,,,"151,448",,"151,448"
8520,,,"150,534",,,"150,534"
HIGHTSTOWN,,,"150,534",,,"150,534"
NJ,,,"150,534",,,"150,534"
33137,,,"150,495",,,"150,495"
MIAMI,,,"150,495",,,"150,495"
FL,,,"150,495",,,"150,495"
93602,,,,"150,413",,"150,413"
AUBERRY,,,,"150,413",,"150,413"
CA,,,,"150,413",,"150,413"
72501,"43,382",,"106,700",,,"150,082"
BATESVILLE,"43,382",,"106,700",,,"150,082"
AR,"43,382",,"106,700",,,"150,082"
31620,"150,050",,,,,"150,050"
ADEL,"150,050",,,,,"150,050"
GA,"150,050",,,,,"150,050"
36617,"150,017",,,,,"150,017"
MOBILE,"150,017",,,,,"150,017"
AL,"150,017",,,,,"150,017"
98933,,,,"150,000",,"150,000"
HARRAH,,,,"150,000",,"150,000"
WA,,,,"150,000",,"150,000"
98908,"150,000",,,,,"150,000"
YAKIMA,"150,000",,,,,"150,000"
WA,"150,000",,,,,"150,000"
73632,"150,000",,,,,"150,000"
CORDELL,"150,000",,,,,"150,000"
OK,"150,000",,,,,"150,000"
29407,,,,"150,000",,"150,000"
CHARLESTON,,,,"150,000",,"150,000"
SC,,,,"150,000",,"150,000"
95311,"149,726",,,,,"149,726"
COULTERVILLE,"149,726",,,,,"149,726"
CA,"149,726",,,,,"149,726"
33916,,"8,778","140,694",,,"149,472"
FORT MYERS,,"8,778","140,694",,,"149,472"
FL,,"8,778","140,694",,,"149,472"
15090,,,"148,353",,,"148,353"
WEXFORD,,,"148,353",,,"148,353"
PA,,,"148,353",,,"148,353"
24127,"147,391",,,,,"147,391"
NEW CASTLE,"147,391",,,,,"147,391"
VA,"147,391",,,,,"147,391"
70115,,,,"147,102",,"147,102"
NEW ORLEANS,,,,"147,102",,"147,102"
LA,,,,"147,102",,"147,102"
30436,"4,400","142,262",,,,"146,662"
LYONS,"4,400","142,262",,,,"146,662"
GA,"4,400","142,262",,,,"146,662"
39501,,,"94,822","17,555","34,010","146,387"
GULFPORT,,,"94,822",,"34,010","128,832"
MS,,,"94,822",,"34,010","128,832"
GULFPROT,,,,"17,555",,"17,555"
MS,,,,"17,555",,"17,555"
85003,,"145,982",,,,"145,982"
PHOENIX,,"145,982",,,,"145,982"
AZ,,"145,982",,,,"145,982"
97358,,,,"145,000",,"145,000"
LYONS,,,,"145,000",,"145,000"
OR,,,,"145,000",,"145,000"
19977,"144,420",,,,,"144,420"
SMYRNA,"144,420",,,,,"144,420"
DE,"144,420",,,,,"144,420"
90210,,"143,179",,,,"143,179"
BEVERLY HILLS,,"143,179",,,,"143,179"
CA,,"143,179",,,,"143,179"
70806,,,,"142,570",,"142,570"
BATON ROUGE,,,,"142,570",,"142,570"
LA,,,,"142,570",,"142,570"
80403,,,,"142,516",,"142,516"
GOLDEN,,,,"142,516",,"142,516"
CO,,,,"142,516",,"142,516"
36701,,"141,817",,,,"141,817"
SELMA,,"141,817",,,,"141,817"
AL,,"141,817",,,,"141,817"
75803,"141,679",,,,,"141,679"
PALESTINE,"141,679",,,,,"141,679"
TX,"141,679",,,,,"141,679"
19734,,,,"141,637",,"141,637"
TOWNSEND,,,,"141,637",,"141,637"
DE,,,,"141,637",,"141,637"
74126,,"141,550",,,,"141,550"
TULSA,,"141,550",,,,"141,550"
OK,,"141,550",,,,"141,550"
8065,,,,"141,011",,"141,011"
PALMYRA,,,,"141,011",,"141,011"
NJ,,,,"141,011",,"141,011"
37854,,,"140,821",,,"140,821"
ROCKWOOD,,,"140,821",,,"140,821"
TN,,,"140,821",,,"140,821"
46534,"133,893",,"6,609",,,"140,502"
KNOX,"133,893",,"6,609",,,"140,502"
IN,"133,893",,"6,609",,,"140,502"
47451,,,,"140,500",,"140,500"
OOLITIC,,,,"140,500",,"140,500"
IN,,,,"140,500",,"140,500"
28301,,,,"140,299",,"140,299"
FAYETTEVILLE,,,,"140,299",,"140,299"
NC,,,,"140,299",,"140,299"
7112,,,"140,200",,,"140,200"
NEWARK,,,"140,200",,,"140,200"
NJ,,,"140,200",,,"140,200"
95469,,"140,000",,,,"140,000"
POTTER VALLEY,,"140,000",,,,"140,000"
CA,,"140,000",,,,"140,000"
77489,,,"139,414",,,"139,414"
MISSOURI CITY,,,"139,414",,,"139,414"
TX,,,"139,414",,,"139,414"
85035,,"46,789",0,"92,288",,"139,077"
PHOENIX,,"46,789",0,"92,288",,"139,077"
AZ,,"46,789",0,"92,288",,"139,077"
35208,,,,"139,019",,"139,019"
BIRMINGHAM,,,,"139,019",,"139,019"
AL,,,,"139,019",,"139,019"
70601,"60,000",,"51,032",,"27,460","138,492"
LAKE CHARLES,"60,000",,"51,032",,"27,460","138,492"
LA,"60,000",,"51,032",,"27,460","138,492"
77449,"138,456",,,,,"138,456"
KATY,"138,456",,,,,"138,456"
TX,"138,456",,,,,"138,456"
85041,,"113,885","23,528",,,"137,413"
PHOENIX,,"113,885","23,528",,,"137,413"
AZ,,"113,885","23,528",,,"137,413"
75041,,,,,"137,000","137,000"
GARLAND,,,,,"137,000","137,000"
TX,,,,,"137,000","137,000"
46409,"136,928",,,,,"136,928"
GARY,"136,928",,,,,"136,928"
IN,"136,928",,,,,"136,928"
30650,"136,663",,,,,"136,663"
MADISON,"136,663",,,,,"136,663"
GA,"136,663",,,,,"136,663"
95476,"136,552",,,,,"136,552"
SONOMA,"136,552",,,,,"136,552"
CA,"136,552",,,,,"136,552"
6712,"136,535",,,,,"136,535"
PROSPECT,"136,535",,,,,"136,535"
CT,"136,535",,,,,"136,535"
81082,,,,"136,000",,"136,000"
TRINIDAD,,,,"136,000",,"136,000"
CO,,,,"136,000",,"136,000"
77632,"127,500",,,,"7,589","135,089"
ORANGE,"127,500",,,,"7,589","135,089"
TX,"127,500",,,,"7,589","135,089"
74442,,,,,"135,000","135,000"
INDIANOLA,,,,,"135,000","135,000"
OK,,,,,"135,000","135,000"
27587,,,"134,825",,,"134,825"
WAKE FOREST,,,"134,825",,,"134,825"
NC,,,"134,825",,,"134,825"
78852,,"1,383",,"133,111",,"134,494"
EAGLE PASS,,"1,383",,"133,111",,"134,494"
TX,,"1,383",,"133,111",,"134,494"
72834,,"134,449",,,,"134,449"
DARDANELLE,,"134,449",,,,"134,449"
AR,,"134,449",,,,"134,449"
38941,,"133,850",,,,"133,850"
ITTA BENA,,"133,850",,,,"133,850"
MS,,"133,850",,,,"133,850"
85924,,,,"133,287",,"133,287"
CONCHO,,,,"133,287",,"133,287"
AZ,,,,"133,287",,"133,287"
39203,,"133,275",,,,"133,275"
JACKSON,,"133,275",,,,"133,275"
MS,,"133,275",,,,"133,275"
81003,,"130,272",,,,"130,272"
PUEBLO,,"130,272",,,,"130,272"
CO,,"130,272",,,,"130,272"
60654,"130,037",,,,,"130,037"
CHICAGO,"130,037",,,,,"130,037"
IL,"130,037",,,,,"130,037"
60628,,"129,625",,,,"129,625"
CHICAGO,,"129,625",,,,"129,625"
IL,,"129,625",,,,"129,625"
46996,,,"129,125",,,"129,125"
WINAMAC,,,"129,125",,,"129,125"
IN,,,"129,125",,,"129,125"
85541,,"128,982",,,,"128,982"
PAYSON,,"128,982",,,,"128,982"
AZ,,"128,982",,,,"128,982"
32751,,"126,671",,,,"126,671"
MAITLAND,,"126,671",,,,"126,671"
FL,,"126,671",,,,"126,671"
33055,,,"13,968","112,559",,"126,527"
MIAMI GARDENS,,,"13,968","112,559",,"126,527"
FL,,,"13,968","112,559",,"126,527"
85937,"126,000",,,,,"126,000"
SNOWFLAKE,"126,000",,,,,"126,000"
AZ,"126,000",,,,,"126,000"
4768,,,,,"125,705","125,705"
PORTAGE,,,,,"125,705","125,705"
ME,,,,,"125,705","125,705"
55731,,"125,100",,,,"125,100"
ELY,,"125,100",,,,"125,100"
MN,,"125,100",,,,"125,100"
85533,,"125,000",,,,"125,000"
CLIFTON,,"125,000",,,,"125,000"
AZ,,"125,000",,,,"125,000"
63821,,"125,000",,,,"125,000"
ARBYRD,,"125,000",,,,"125,000"
MO,,"125,000",,,,"125,000"
31064,,"125,000",,,,"125,000"
MONTICELLO,,"125,000",,,,"125,000"
GA,,"125,000",,,,"125,000"
32413,,,"122,973",,,"122,973"
PANAMA CITY BEACH,,,"122,973",,,"122,973"
FL,,,"122,973",,,"122,973"
76106,,"66,674","56,148",,,"122,823"
FORT WORTH,,"66,674","56,148",,,"122,823"
TX,,"66,674","56,148",,,"122,823"
81126,,,,,"122,818","122,818"
CHAMA,,,,,"122,818","122,818"
CO,,,,,"122,818","122,818"
33605,,,"122,582",,,"122,582"
TAMPA,,,"122,582",,,"122,582"
FL,,,"122,582",,,"122,582"
31408,,"122,004",,,,"122,004"
GARDEN CITY,,"122,004",,,,"122,004"
GA,,"122,004",,,,"122,004"
85021,"41,021","80,719",,,,"121,741"
PHOENIX,"41,021","80,719",,,,"121,741"
AZ,"41,021","80,719",,,,"121,741"
95470,"121,174",,,,,"121,174"
REDWOOD VALLEY,"121,174",,,,,"121,174"
CA,"121,174",,,,,"121,174"
31829,,,,,"120,000","120,000"
COLUMBUS,,,,,"120,000","120,000"
GA,,,,,"120,000","120,000"
28539,"119,730",,,,,"119,730"
HUBERT,"119,730",,,,,"119,730"
NC,"119,730",,,,,"119,730"
59105,,,,"118,389",,"118,389"
BILLINGS,,,,"118,389",,"118,389"
MT,,,,"118,389",,"118,389"
23507,"118,240",,,,,"118,240"
NORFOLK,"118,240",,,,,"118,240"
VA,"118,240",,,,,"118,240"
44010,,"116,710",,,,"116,710"
AUSTINBURG,,"116,710",,,,"116,710"
OH,,"116,710",,,,"116,710"
39470,,"5,700","76,250","34,712",,"116,662"
POPLARVILLE,,"5,700","76,250","34,712",,"116,662"
MS,,"5,700","76,250","34,712",,"116,662"
34951,,,"116,243",,,"116,243"
FORT PIERCE,,,"116,243",,,"116,243"
FL,,,"116,243",,,"116,243"
35673,"116,175",,,,,"116,175"
TRINITY,"116,175",,,,,"116,175"
AL,"116,175",,,,,"116,175"
71701,,,,"116,000",,"116,000"
CAMDEN,,,,"116,000",,"116,000"
AR,,,,"116,000",,"116,000"
36610,"32,400","83,000",,,,"115,400"
MOBILE,"32,400",,,,,"32,400"
AL,"32,400",,,,,"32,400"
PRICHARD,,"83,000",,,,"83,000"
AL,,"83,000",,,,"83,000"
99114,"73,240","40,000",,,,"113,240"
COLVILLE,"73,240","40,000",,,,"113,240"
WA,"73,240","40,000",,,,"113,240"
30224,,,,,"113,000","113,000"
GRIFFIN,,,,,"113,000","113,000"
GA,,,,,"113,000","113,000"
79510,,,,"112,500",,"112,500"
CLYDE,,,,"112,500",,"112,500"
TX,,,,"112,500",,"112,500"
88210,"112,150",,,,,"112,150"
ARTESIA,"112,150",,,,,"112,150"
NM,"112,150",,,,,"112,150"
99117,,"112,141",,,,"112,141"
CRESTON,,"112,141",,,,"112,141"
WA,,"112,141",,,,"112,141"
29450,,"112,058",,,,"112,058"
HUGER,,"112,058",,,,"112,058"
SC,,"112,058",,,,"112,058"
33556,,,,,"111,801","111,801"
ODESSA,,,,,"111,801","111,801"
FL,,,,,"111,801","111,801"
33143,,0,"46,515",,"65,045","111,560"
CORAL GABLES,,,"46,515",,,"46,515"
FL,,,"46,515",,,"46,515"
MIAMI,,,,,"65,045","65,045"
FL,,,,,"65,045","65,045"
SOUTH MIAMI,,0,,,,0
FL,,0,,,,0
66534,,"111,019",,,,"111,019"
SABETHA,,"111,019",,,,"111,019"
KS,,"111,019",,,,"111,019"
98671,,,,"110,000",,"110,000"
WASHOUGAL,,,,"110,000",,"110,000"
WA,,,,"110,000",,"110,000"
98408,"110,000",,,,,"110,000"
TACOMA,"110,000",,,,,"110,000"
WA,"110,000",,,,,"110,000"
43731,,,,,"110,000","110,000"
CROOKSVILLE,,,,,"110,000","110,000"
OH,,,,,"110,000","110,000"
33024,,"109,027",,,,"109,027"
HOLLYWOOD,,"109,027",,,,"109,027"
FL,,"109,027",,,,"109,027"
73107,,,,,"108,982","108,982"
OKLAHOMA CITY,,,,,"108,982","108,982"
OK,,,,,"108,982","108,982"
89106,,287,,"108,000",,"108,287"
LAS VEGAS,,287,,"108,000",,"108,287"
NV,,287,,"108,000",,"108,287"
76140,,659,,,"107,507","108,166"
FOREST HILL,,,,,"107,507","107,507"
TX,,,,,"107,507","107,507"
FORT WORTH,,659,,,,659
TX,,659,,,,659
33411,,,,,"107,994","107,994"
ROYAL PALM BEACH,,,,,"107,994","107,994"
FL,,,,,"107,994","107,994"
78223,,,,,"107,832","107,832"
SAN ANTONIO,,,,,"107,832","107,832"
TX,,,,,"107,832","107,832"
81224,,,,,"107,797","107,797"
CRESTED BUTTE,,,,,"107,797","107,797"
CO,,,,,"107,797","107,797"
87571,,,"107,793",,,"107,793"
TAOS,,,"107,793",,,"107,793"
NM,,,"107,793",,,"107,793"
77707,,,,"107,480",,"107,480"
BEAUMONT,,,,"107,480",,"107,480"
TX,,,,"107,480",,"107,480"
85051,,,,"107,409",,"107,409"
PHOENIX,,,,"107,409",,"107,409"
AZ,,,,"107,409",,"107,409"
27604,,,"107,335",,,"107,335"
RALEIGH,,,"107,335",,,"107,335"
NC,,,"107,335",,,"107,335"
29572,,,,,"106,636","106,636"
MYRTLE BEACH,,,,,"106,636","106,636"
SC,,,,,"106,636","106,636"
81063,,,,"105,570",,"105,570"
ORDWAY,,,,"105,570",,"105,570"
CO,,,,"105,570",,"105,570"
33056,,,"94,097",,"11,363","105,460"
MIAMI GARDENS,,,"94,097",,"11,363","105,460"
FL,,,"94,097",,"11,363","105,460"
28746,"105,047",,,,,"105,047"
LAKE LURE,"105,047",,,,,"105,047"
NC,"105,047",,,,,"105,047"
82301,,,,,"105,000","105,000"
RAWLINS,,,,,"105,000","105,000"
WY,,,,,"105,000","105,000"
59820,,,"104,086",,,"104,086"
ALBERTON,,,"104,086",,,"104,086"
MT,,,"104,086",,,"104,086"
47501,,,,,"104,000","104,000"
WASHINGTON,,,,,"104,000","104,000"
IN,,,,,"104,000","104,000"
36607,,"2,754","30,000","70,000",,"102,754"
MOBILE,,"2,754","30,000","70,000",,"102,754"
AL,,"2,754","30,000","70,000",,"102,754"
39573,,,"101,512",,,"101,512"
PERKINSTON,,,"101,512",,,"101,512"
MS,,,"101,512",,,"101,512"
95338,"93,945","7,395",,,,"101,340"
MARIPOSA,"93,945","7,395",,,,"101,340"
CA,"93,945","7,395",,,,"101,340"
94552,,,"100,900",,,"100,900"
CASTRO VALLEY,,,"100,900",,,"100,900"
CA,,,"100,900",,,"100,900"
11706,,"100,656",,,,"100,656"
BAY SHORE,,"100,656",,,,"100,656"
NY,,"100,656",,,,"100,656"
12205,,,,"100,605",,"100,605"
ALBANY,,,,"100,605",,"100,605"
NY,,,,"100,605",,"100,605"
85281,,"100,000",,,,"100,000"
TEMPE,,"100,000",,,,"100,000"
AZ,,"100,000",,,,"100,000"
85006,,,"100,000",,,"100,000"
PHOENIX,,,"100,000",,,"100,000"
AZ,,,"100,000",,,"100,000"
47303,,"100,000",,,,"100,000"
MUNCIE,,"100,000",,,,"100,000"
IN,,"100,000",,,,"100,000"
7002,"100,000",,,,,"100,000"
BAYONNE,"100,000",,,,,"100,000"
NJ,"100,000",,,,,"100,000"
49887,,,,"99,908",,"99,908"
STEPHENSON,,,,"99,908",,"99,908"
MI,,,,"99,908",,"99,908"
2090,,"97,606",,,,"97,606"
WESTWOOD,,"97,606",,,,"97,606"
MA,,"97,606",,,,"97,606"
89503,"97,360",,,,,"97,360"
RENO,"97,360",,,,,"97,360"
NV,"97,360",,,,,"97,360"
33904,,,,"96,945",,"96,945"
CAPE CORAL,,,,"96,945",,"96,945"
FL,,,,"96,945",,"96,945"
47327,,"96,500",,,,"96,500"
CAMBRIDGE CITY,,"96,500",,,,"96,500"
IN,,"96,500",,,,"96,500"
19150,,"96,071",,,,"96,071"
PHILADELPHIA,,"96,071",,,,"96,071"
PA,,"96,071",,,,"96,071"
8232,,"95,932",,,,"95,932"
PLEASANTVILLE,,"95,932",,,,"95,932"
NJ,,"95,932",,,,"95,932"
97466,,,,"95,648",,"95,648"
POWERS,,,,"95,648",,"95,648"
OR,,,,"95,648",,"95,648"
32904,,,"95,584",,,"95,584"
MELBOURNE,,,"95,584",,,"95,584"
FL,,,"95,584",,,"95,584"
76031,,"95,433",,,,"95,433"
CLEBURNE,,"95,433",,,,"95,433"
TX,,"95,433",,,,"95,433"
98597,"95,000",,,,,"95,000"
YELM,"95,000",,,,,"95,000"
WA,"95,000",,,,,"95,000"
97342,,,,"95,000",,"95,000"
DETROIT,,,,"95,000",,"95,000"
OR,,,,"95,000",,"95,000"
78202,,,,"94,902",,"94,902"
SAN ANTONIO,,,,"94,902",,"94,902"
TX,,,,"94,902",,"94,902"
85009,,,,"94,821",,"94,821"
PHOENIX,,,,"94,821",,"94,821"
AZ,,,,"94,821",,"94,821"
56431,,,"94,687",,,"94,687"
AITKIN,,,"94,687",,,"94,687"
MN,,,"94,687",,,"94,687"
76645,,,,"94,242",,"94,242"
"HILLSBORO, HILL CO.",,,,"94,242",,"94,242"
TX,,,,"94,242",,"94,242"
99163,,,"94,014",,,"94,014"
PULLMAN,,,"94,014",,,"94,014"
WA,,,"94,014",,,"94,014"
99201,,,"93,575",,,"93,575"
SPOKANE,,,"93,575",,,"93,575"
WA,,,"93,575",,,"93,575"
31318,,,,,"91,000","91,000"
MELDRIM,,,,,"91,000","91,000"
GA,,,,,"91,000","91,000"
39110,,"90,873",,,,"90,873"
MADISON,,"90,873",,,,"90,873"
MS,,"90,873",,,,"90,873"
76265,,,,"90,764",,"90,764"
SAINT JO,,,,"90,764",,"90,764"
TX,,,,"90,764",,"90,764"
70750,,,,"90,541",,"90,541"
KROTZ SPRINGS,,,,"90,541",,"90,541"
LA,,,,"90,541",,"90,541"
98901,"49,951",,"10,400","30,000",,"90,351"
YAKIMA,"49,951",,"10,400","30,000",,"90,351"
WA,"49,951",,"10,400","30,000",,"90,351"
73738,,,"90,273",,,"90,273"
GARBER,,,"90,273",,,"90,273"
OK,,,"90,273",,,"90,273"
29577,,,,"90,268",,"90,268"
MYRTLE BEACH,,,,"90,268",,"90,268"
SC,,,,"90,268",,"90,268"
95608,,"90,065",,,,"90,065"
CARMICHAEL,,"90,065",,,,"90,065"
CA,,"90,065",,,,"90,065"
43204,"90,000",,,,,"90,000"
COLUMBUS,"90,000",,,,,"90,000"
OH,"90,000",,,,,"90,000"
51572,,,,,"90,000","90,000"
SOLDIER,,,,,"90,000","90,000"
IA,,,,,"90,000","90,000"
31308,,,"90,000",,,"90,000"
ELLABELL,,,"90,000",,,"90,000"
GA,,,"90,000",,,"90,000"
97502,,,"89,738",,,"89,738"
CENTRAL POINT,,,"89,738",,,"89,738"
OR,,,"89,738",,,"89,738"
85192,,,,,"89,182","89,182"
DUDLEYVILLE,,,,,"1,018","1,018"
AZ,,,,,"1,018","1,018"
WINKELMAN,,,,,"88,164","88,164"
AZ,,,,,"88,164","88,164"
98520,"47,063",,"42,000",,,"89,063"
ABERDEEN,"47,063",,"42,000",,,"89,063"
WA,"47,063",,"42,000",,,"89,063"
33032,,"7,598","53,572","27,878",,"89,048"
HOMESTEAD,,"7,598","53,572","27,878",,"89,048"
FL,,"7,598","53,572","27,878",,"89,048"
6226,,"88,270",,,,"88,270"
WILLIMANTIC,,"88,270",,,,"88,270"
CT,,"88,270",,,,"88,270"
39213,,,,"87,966",,"87,966"
JACKSON,,,,"87,966",,"87,966"
MS,,,,"87,966",,"87,966"
98577,,,,,"87,725","87,725"
RAYMOND,,,,,"87,725","87,725"
WA,,,,,"87,725","87,725"
78596,,"3,326",,"84,000",,"87,326"
WESLACO,,"3,326",,"84,000",,"87,326"
TX,,"3,326",,"84,000",,"87,326"
77586,,,"87,095",,,"87,095"
SEABROOK,,,"87,095",,,"87,095"
TX,,,"87,095",,,"87,095"
74834,,,"87,000",,,"87,000"
CHANDLER,,,"87,000",,,"87,000"
OK,,,"87,000",,,"87,000"
31324,,,"86,869",,,"86,869"
RICHMOND HILL,,,"86,869",,,"86,869"
GA,,,"86,869",,,"86,869"
35224,"86,261",,,,,"86,261"
BIRMINGHAM,"86,261",,,,,"86,261"
AL,"86,261",,,,,"86,261"
59725,,,"86,000",,,"86,000"
DILLON,,,"86,000",,,"86,000"
MT,,,"86,000",,,"86,000"
55370,,"85,969",,,,"85,969"
PLATO,,"85,969",,,,"85,969"
MN,,"85,969",,,,"85,969"
29554,,"85,875",,,,"85,875"
HEMINGWAY,,"85,875",,,,"85,875"
SC,,"85,875",,,,"85,875"
61832,"85,000",,,,,"85,000"
DANVILLE,"85,000",,,,,"85,000"
IL,"85,000",,,,,"85,000"
36522,,"44,904","40,000",,,"84,904"
CITRONELLE,,"44,904","40,000",,,"84,904"
AL,,"44,904","40,000",,,"84,904"
36582,,"84,621",,,,"84,621"
THEODORE,,"84,621",,,,"84,621"
AL,,"84,621",,,,"84,621"
70810,,"84,473",,,,"84,473"
BATON ROUGE,,"84,473",,,,"84,473"
LA,,"84,473",,,,"84,473"
99347,,,,"84,300",,"84,300"
POMEROY,,,,"84,300",,"84,300"
WA,,,,"84,300",,"84,300"
39553,,"76,100","7,630",,,"83,730"
GAUTIER,,"76,100","7,630",,,"83,730"
MS,,"76,100","7,630",,,"83,730"
70124,,"83,309",,0,,"83,309"
NEW ORLEANS,,"83,309",,0,,"83,309"
LA,,"83,309",,0,,"83,309"
98570,,,,"83,000",,"83,000"
ONALASKA,,,,"83,000",,"83,000"
WA,,,,"83,000",,"83,000"
62957,,,"83,000",,,"83,000"
MCCLURE,,,"83,000",,,"83,000"
IL,,,"83,000",,,"83,000"
36560,,,"83,000",,,"83,000"
MOUNT VERNON,,,"83,000",,,"83,000"
AL,,,"83,000",,,"83,000"
33016,,,"82,827",,,"82,827"
MIAMI GARDENS,,,"82,827",,,"82,827"
FL,,,"82,827",,,"82,827"
29525,,"82,500",,,,"82,500"
CLIO,,"82,500",,,,"82,500"
SC,,"82,500",,,,"82,500"
82922,,"82,038",,,,"82,038"
BONDURANT,,"82,038",,,,"82,038"
WY,,"82,038",,,,"82,038"
74110,,,,"82,000",,"82,000"
TULSA,,,,"82,000",,"82,000"
OK,,,,"82,000",,"82,000"
6475,,,"81,864",,,"81,864"
OLD SAYBROOK,,,"81,864",,,"81,864"
CT,,,"81,864",,,"81,864"
23061,"81,849",,,,,"81,849"
GLOUCESTER,"81,849",,,,,"81,849"
VA,"81,849",,,,,"81,849"
13635,"81,547",,,,,"81,547"
EDWARDS,"81,547",,,,,"81,547"
NY,"81,547",,,,,"81,547"
70126,,"55,072",,,"26,289","81,361"
NEW ORLEANS,,"55,072",,,"26,289","81,361"
LA,,"55,072",,,"26,289","81,361"
28701,"80,983",,,,,"80,983"
GREENVILLE,"80,983",,,,,"80,983"
MS,"80,983",,,,,"80,983"
39212,,,,,"80,000","80,000"
JACKSON,,,,,"80,000","80,000"
MS,,,,,"80,000","80,000"
33610,,"79,764",,,,"79,764"
